id;creation_date;community_name;community_description;image;image_content_type;is_active;appuser_id
1;2021-05-11T00:26:56;Sleek;neural Mission redundant;../fake-data/blob/hipster.png;image/png;false;1
2;2021-05-10T16:36:20;Gloves Sleek Money;Islands;../fake-data/blob/hipster.png;image/png;true;2
3;2021-05-10T14:20:58;SQL Clothing tan;Loan program Kyrgyz;../fake-data/blob/hipster.png;image/png;true;2
4;2021-05-11T09:35:24;Accountability monitor RAM;Frozen deposit;../fake-data/blob/hipster.png;image/png;false;1
5;2021-05-11T07:33:03;monitor;Frozen Towels Rupee;../fake-data/blob/hipster.png;image/png;true;1
6;2021-05-10T14:01:08;Usability Agent fuchsia;Hill;../fake-data/blob/hipster.png;image/png;true;2
7;2021-05-10T23:33:26;GB Fish online;View global;../fake-data/blob/hipster.png;image/png;true;1
8;2021-05-10T13:01:41;Washington;auxiliary digital seize;../fake-data/blob/hipster.png;image/png;false;1
9;2021-05-11T07:48:18;complexity Liaison;drive;../fake-data/blob/hipster.png;image/png;false;2
10;2021-05-10T18:31:28;Account Hat;fault-tolerant platforms Rubber;../fake-data/blob/hipster.png;image/png;false;1
