id;config_var_long_1;config_var_long_2;config_var_long_3;config_var_long_4;config_var_long_5;config_var_long_6;config_var_long_7;config_var_long_8;config_var_long_9;config_var_long_10;config_var_long_11;config_var_long_12;config_var_long_13;config_var_long_14;config_var_long_15;config_var_boolean_16;config_var_boolean_17;config_var_boolean_18;config_var_string_19;config_var_string_20
1;90111;23657;59285;97212;51164;60570;61004;98355;46873;95116;17231;54331;22724;25392;48480;true;true;true;Research deposit;Reverse-engineered
2;18178;97253;9577;99587;28607;63557;20788;78856;33504;35487;69865;69919;45493;63276;92226;true;false;false;withdrawal line;e-services
3;94530;74829;58872;38479;22609;4832;72989;56715;59594;76279;57539;32873;23704;94008;82604;false;true;true;Group;Representative Books
4;75215;69347;84882;47790;64869;4384;31246;75797;53537;15807;99076;78959;34999;30852;16864;true;true;true;Leu;Tuna
5;85460;79919;3005;756;33472;34461;42100;16702;34828;65978;83085;64361;91334;71134;4932;true;false;true;Fish Concrete Baby;HDD
6;78882;87021;9546;65155;7635;93846;39295;4775;51251;81307;85316;24966;62535;54339;74997;true;false;false;Cove Tasty Pizza;Computer Manager Metal
7;89203;86950;94069;70333;69604;93236;59511;68657;93430;21153;22009;57263;957;61299;66201;false;false;true;Mount;up Loan driver
8;49111;39061;56848;30190;82315;42230;33769;91640;15824;64727;16451;14234;23169;84053;5018;false;false;true;New e-services Tasty;Sports 5th
9;10219;76575;45075;36618;58244;9274;89520;59647;28303;56680;15421;44143;27972;46297;15015;true;false;false;Savings Associate;Rhode white quantifying
10;1932;17217;20495;78371;25207;50755;44585;69511;85728;18080;70662;98246;99719;86788;48180;false;true;false;Officer SAS AI;CSS
