id;creation_date;top_news_1;top_news_2;top_news_3;top_news_4;top_news_5;latest_news_1;latest_news_2;latest_news_3;latest_news_4;latest_news_5;breaking_news_1;recent_posts_1;recent_posts_2;recent_posts_3;recent_posts_4;featured_articles_1;featured_articles_2;featured_articles_3;featured_articles_4;featured_articles_5;featured_articles_6;featured_articles_7;featured_articles_8;featured_articles_9;featured_articles_10;popular_news_1;popular_news_2;popular_news_3;popular_news_4;popular_news_5;popular_news_6;popular_news_7;popular_news_8;weekly_news_1;weekly_news_2;weekly_news_3;weekly_news_4;news_feeds_1;news_feeds_2;news_feeds_3;news_feeds_4;news_feeds_5;news_feeds_6;useful_links_1;useful_links_2;useful_links_3;useful_links_4;useful_links_5;useful_links_6;recent_videos_1;recent_videos_2;recent_videos_3;recent_videos_4;recent_videos_5;recent_videos_6
1;2021-05-10T20:53:32;98203;38202;94790;319;88710;95491;10681;75182;77155;76354;70088;22680;57438;77071;53203;35491;26590;59617;40017;23805;21902;19606;43191;2956;46797;15722;40851;35734;43254;37939;50331;16213;96901;4068;56075;43304;93234;3986;53692;94105;72989;25766;98087;4922;4439;24899;30831;39597;13268;15328;76524;58892;51902;98630;26088
2;2021-05-10T18:59:20;23840;32420;47778;63851;89972;67936;52638;71328;41995;81285;7411;43574;22044;11268;96431;66833;52519;98415;71801;81361;70955;7619;70187;83710;80995;69469;62491;20238;54541;28732;68865;40619;68633;64010;39109;76673;25015;38925;94103;67169;7916;62270;30719;54756;38431;28563;33636;58830;50979;63404;96755;40721;27536;80446;91051
3;2021-05-11T03:57:33;57085;53368;58880;45213;49681;5507;13311;24802;11869;85688;74490;30616;47468;46234;41798;15833;417;22072;51275;88668;71250;20381;78651;87050;42329;70843;27682;15261;84618;3846;71958;32072;62848;37137;63548;55629;53579;97413;36472;93193;76806;72742;81121;53944;85141;81059;11042;55138;77856;73180;21490;42622;9829;54651;12297
4;2021-05-11T06:29:59;75302;74661;29749;60176;82715;8269;1125;90770;74075;62126;30344;4096;57710;64609;81050;31160;26968;58504;76768;37738;60862;91027;51610;17913;3363;78432;91060;22939;94236;72499;33659;36064;94946;55951;88414;86007;68343;56359;39569;80483;41083;49578;29963;64455;86232;39347;70811;77731;12072;19041;43054;15391;96737;1865;14293
5;2021-05-10T13:08:03;22879;63252;91949;66984;72021;47306;54548;76426;22216;84203;23831;96593;27734;42461;11587;99712;25073;50695;82906;16350;58202;5296;90116;60135;79050;52741;15198;29736;98348;88585;62071;27018;68757;14533;68447;27996;20826;50375;81215;6754;7334;57657;25673;22109;17193;61688;3400;95311;15799;28969;62679;92704;76240;76041;91375
6;2021-05-11T03:12:24;92472;6105;94039;94166;59922;16916;77083;83569;84123;65699;91784;67303;12503;11521;13884;70549;79741;72688;63858;84229;90841;13352;75141;12551;73078;84118;89248;20683;87499;75612;31584;83801;98453;78494;89167;40036;45684;8431;4622;14740;36886;94035;40707;77270;99857;77064;82887;77044;55322;91881;34841;29888;38297;25319;95683
7;2021-05-11T08:07:58;19880;59172;74099;41527;51403;50521;3627;21279;96908;90083;13514;19879;77098;16971;11007;26747;13387;67176;84206;34259;64832;79393;33250;32129;51969;88621;44739;71784;62007;69496;25786;96448;26292;66349;17238;82668;42743;11384;86718;17353;25492;24147;50461;20100;93327;73721;96230;41642;35031;69313;70717;16500;36196;54518;61151
8;2021-05-10T22:40:26;104;44365;58253;11457;46913;72071;59833;33352;50578;7716;56603;35235;6528;4004;91588;36713;86305;47827;45783;97618;76957;75714;16293;32773;27269;45756;38637;6999;77422;45383;83601;15645;55726;41586;18237;39842;68703;17523;89794;66250;30229;70766;60366;77245;44189;24959;79890;95514;79494;40845;80752;3402;93124;88981;74269
9;2021-05-10T21:49:19;80751;4339;27350;51135;75536;30485;73451;41804;11353;14404;22552;25420;71101;1666;4064;51327;38060;6232;906;28510;79575;6148;399;50361;59349;85683;84340;2189;8121;83294;88791;93786;27320;29045;14327;54632;96753;13394;45845;15643;92322;71108;13086;70154;45097;72003;36963;62167;82509;95945;85228;89289;27344;45136;14399
10;2021-05-10T20:32:53;15203;78339;18629;91301;52661;39352;47362;42728;12462;83551;18319;52055;51988;21567;40562;56189;7252;59779;19035;92100;83770;46218;66322;18739;31471;19346;22296;96462;22022;52718;86128;21184;33785;32217;9268;43109;83049;58324;32198;88077;4803;69955;2352;65996;31891;50016;48511;95603;62538;98083;78578;64493;58886;66187;22543
